# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
5.464680774293e-06 4.150953378906e+09 3.548720268350e+04 5.227468080016e+18 1.793536815387e-07
5.502867538067e-06 4.107820585123e+09 3.536385794741e+04 5.137250483497e+18 1.811308252057e-07
5.541321147973e-06 4.065135986909e+09 3.524094192780e+04 5.048589896457e+18 1.829255151311e-07
5.580043468711e-06 4.022894927033e+09 3.511845313457e+04 4.961459447429e+18 1.847379238563e-07
5.619036378012e-06 3.981092796660e+09 3.499639008278e+04 4.875832728708e+18 1.865682256115e-07
5.658301766727e-06 3.939725034846e+09 3.487475129265e+04 4.791683788339e+18 1.884165963322e-07
5.697841538921e-06 3.898787128037e+09 3.475353528957e+04 4.708987122261e+18 1.902832136760e-07
5.737657611964e-06 3.858274609584e+09 3.463274060402e+04 4.627717666567e+18 1.921682570390e-07
5.777751916626e-06 3.818183059249e+09 3.451236577161e+04 4.547850789915e+18 1.940719075732e-07
5.818126397167e-06 3.778508102723e+09 3.439240933303e+04 4.469362286061e+18 1.959943482029e-07
5.858783011435e-06 3.739245411155e+09 3.427286983406e+04 4.392228366520e+18 1.979357636428e-07
5.899723730958e-06 3.700390700673e+09 3.415374582551e+04 4.316425653357e+18 1.998963404149e-07
5.940950541041e-06 3.661939731918e+09 3.403503586324e+04 4.241931172106e+18 2.018762668659e-07
5.982465440863e-06 3.623888309584e+09 3.391673850813e+04 4.168722344799e+18 2.038757331857e-07
6.024270443572e-06 3.586232281959e+09 3.379885232605e+04 4.096776983131e+18 2.058949314245e-07
6.066367576386e-06 3.548967540471e+09 3.368137588788e+04 4.026073281727e+18 2.079340555116e-07
6.108758880686e-06 3.512090019240e+09 3.356430776944e+04 3.956589811542e+18 2.099933012731e-07
6.151446412120e-06 3.475595694635e+09 3.344764655152e+04 3.888305513358e+18 2.120728664507e-07
6.194432240700e-06 3.439480584836e+09 3.333139081983e+04 3.821199691408e+18 2.141729507205e-07
