# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
3.631447672180674999e+03 1.716984294123778893e-03 2.571646351490220184e+01 8.183769024393013902e-01 2.198365191537973828e+00
3.763315692009587565e+03 1.587576656561688745e-03 2.558964747465102008e+01 7.841743025287558622e-01 2.195665854806122752e+00
3.898447909401611923e+03 1.469309124385891367e-03 2.546353699114987279e+01 7.518170344988741594e-01 2.193507502306289325e+00
4.036871119236996492e+03 1.361096530911051457e-03 2.533818808071551132e+01 7.211756621032960890e-01 2.191857388655421346e+00
4.178613179788380876e+03 1.261971099432662377e-03 2.521364495329040167e+01 6.921318414837730471e-01 2.190683036052391230e+00
4.323702982113397411e+03 1.171068746247411673e-03 2.508994074464068547e+01 6.645772853112665857e-01 2.189952541755616267e+00
4.472170410034700581e+03 1.087617041936542487e-03 2.496709828165058553e+01 6.384128180713183331e-01 2.189634839838873859e+00
4.624046292916591483e+03 1.010924632892089498e-03 2.484513086460318831e+01 6.135475168401259838e-01 2.189699920410149048e+00
4.779362353156735480e+03 9.403719464705680023e-04 2.472404305284619852e+01 5.898979316419090679e-01 2.190119009979724751e+00
4.938151150111499192e+03 8.754030229763340182e-04 2.460383144262875632e+01 5.673873794402550796e-01 2.190864715499913018e+00
5.100446022138172339e+03 8.155183357362049985e-04 2.448448542795424387e+01 5.459453058961587502e-01 2.191911136292404194e+00
